_id,activity,cause_of_loss,commodity,country,cpc_code,food_supply_stage,loss_percentage,loss_percentage_original,loss_quantity,m49_code,method_data_collection,notes,reference,region,sample_size,treatment,url,year,roll3_mean_loss_pct
68ed410437a2ec38e9c94abd,Storage,UNK,Maize (corn),Angola,0112,Farm,4.59657,4.59657,0.0,24.0,Modelled Estimates,,"APHLIS, (2021), APHLIS",UNK,0.0,UNK,https://www.aphlis.net/en/data/tables/value-chain/AO/all-crops/2000?metric=prc&download=csv,2000.0,4.59657
68ed410437a2ec38e9c94ac0,Transportation,UNK,Maize (corn),Angola,0112,Farm,2.30105,2.30105,0.0,24.0,Modelled Estimates,,"APHLIS, (2021), APHLIS",UNK,0.0,UNK,https://www.aphlis.net/en/data/tables/value-chain/AO/all-crops/2000?metric=prc&download=csv,2000.0,3.44881
68ed410437a2ec38e9c94ac2,Drying,UNK,Maize (corn),Angola,0112,Farm,3.89191,3.89191,0.0,24.0,Modelled Estimates,,"APHLIS, (2021), APHLIS",UNK,0.0,UNK,https://www.aphlis.net/en/data/tables/value-chain/AO/all-crops/2000?metric=prc&download=csv,2000.0,3.59651
68ed410437a2ec38e9c94a9c,Storage,UNK,Maize (corn),Angola,0112,Farm,4.58299,4.58299,0.0,24.0,Modelled Estimates,,"APHLIS, (2021), APHLIS",UNK,0.0,UNK,https://www.aphlis.net/en/data/tables/value-chain/AO/all-crops/2001?metric=prc&download=csv,2001.0,3.5919833333333333
68ed410437a2ec38e9c94a9f,Transportation,UNK,Maize (corn),Angola,0112,Farm,2.31408,2.31408,0.0,24.0,Modelled Estimates,,"APHLIS, (2021), APHLIS",UNK,0.0,UNK,https://www.aphlis.net/en/data/tables/value-chain/AO/all-crops/2001?metric=prc&download=csv,2001.0,3.5963266666666667
68ed410437a2ec38e9c94aa1,Drying,UNK,Maize (corn),Angola,0112,Farm,3.90418,3.90418,0.0,24.0,Modelled Estimates,,"APHLIS, (2021), APHLIS",UNK,0.0,UNK,https://www.aphlis.net/en/data/tables/value-chain/AO/all-crops/2001?metric=prc&download=csv,2001.0,3.6004166666666664
68ed410437a2ec38e9c94a7b,Storage,UNK,Maize (corn),Angola,0112,Farm,4.62122,4.62122,0.0,24.0,Modelled Estimates,,"APHLIS, (2021), APHLIS",UNK,0.0,UNK,https://www.aphlis.net/en/data/tables/value-chain/AO/all-crops/2002?metric=prc&download=csv,2002.0,3.6131600000000006
68ed410437a2ec38e9c94a7e,Transportation,UNK,Maize (corn),Angola,0112,Farm,2.31367,2.31367,0.0,24.0,Modelled Estimates,,"APHLIS, (2021), APHLIS",UNK,0.0,UNK,https://www.aphlis.net/en/data/tables/value-chain/AO/all-crops/2002?metric=prc&download=csv,2002.0,3.613023333333334
68ed410437a2ec38e9c94a80,Drying,UNK,Maize (corn),Angola,0112,Farm,3.9059,3.9059,0.0,24.0,Modelled Estimates,,"APHLIS, (2021), APHLIS",UNK,0.0,UNK,https://www.aphlis.net/en/data/tables/value-chain/AO/all-crops/2002?metric=prc&download=csv,2002.0,3.6135966666666666
68ed410437a2ec38e9c94a5a,Storage,UNK,Maize (corn),Angola,0112,Farm,4.60815,4.60815,0.0,24.0,Modelled Estimates,,"APHLIS, (2021), APHLIS",UNK,0.0,UNK,https://www.aphlis.net/en/data/tables/value-chain/AO/all-crops/2003?metric=prc&download=csv,2003.0,3.60924
68ed410437a2ec38e9c94a5d,Transportation,UNK,Maize (corn),Angola,0112,Farm,2.31365,2.31365,0.0,24.0,Modelled Estimates,,"APHLIS, (2021), APHLIS",UNK,0.0,UNK,https://www.aphlis.net/en/data/tables/value-chain/AO/all-crops/2003?metric=prc&download=csv,2003.0,3.6092333333333335
68ed410437a2ec38e9c94a5f,Drying,UNK,Maize (corn),Angola,0112,Farm,3.90501,3.90501,0.0,24.0,Modelled Estimates,,"APHLIS, (2021), APHLIS",UNK,0.0,UNK,https://www.aphlis.net/en/data/tables/value-chain/AO/all-crops/2003?metric=prc&download=csv,2003.0,3.6089366666666667
68ed410437a2ec38e9c94a39,Storage,UNK,Maize (corn),Angola,0112,Farm,4.62822,4.62822,0.0,24.0,Modelled Estimates,,"APHLIS, (2021), APHLIS",UNK,0.0,UNK,https://www.aphlis.net/en/data/tables/value-chain/AO/all-crops/2004?metric=prc&download=csv,2004.0,3.615626666666666
68ed410437a2ec38e9c94a3c,Transportation,UNK,Maize (corn),Angola,0112,Farm,2.3118,2.3118,0.0,24.0,Modelled Estimates,,"APHLIS, (2021), APHLIS",UNK,0.0,UNK,https://www.aphlis.net/en/data/tables/value-chain/AO/all-crops/2004?metric=prc&download=csv,2004.0,3.61501
68ed410437a2ec38e9c94a3e,Drying,UNK,Maize (corn),Angola,0112,Farm,3.90436,3.90436,0.0,24.0,Modelled Estimates,,"APHLIS, (2021), APHLIS",UNK,0.0,UNK,https://www.aphlis.net/en/data/tables/value-chain/AO/all-crops/2004?metric=prc&download=csv,2004.0,3.614793333333333
68ed410437a2ec38e9c94a18,Storage,UNK,Maize (corn),Angola,0112,Farm,4.58387,4.58387,0.0,24.0,Modelled Estimates,,"APHLIS, (2021), APHLIS",UNK,0.0,UNK,https://www.aphlis.net/en/data/tables/value-chain/AO/all-crops/2005?metric=prc&download=csv,2005.0,3.6000099999999997
68ed410437a2ec38e9c94a1b,Transportation,UNK,Maize (corn),Angola,0112,Farm,2.31293,2.31293,0.0,24.0,Modelled Estimates,,"APHLIS, (2021), APHLIS",UNK,0.0,UNK,https://www.aphlis.net/en/data/tables/value-chain/AO/all-crops/2005?metric=prc&download=csv,2005.0,3.6003866666666666
68ed410437a2ec38e9c94a1d,Drying,UNK,Maize (corn),Angola,0112,Farm,3.90282,3.90282,0.0,24.0,Modelled Estimates,,"APHLIS, (2021), APHLIS",UNK,0.0,UNK,https://www.aphlis.net/en/data/tables/value-chain/AO/all-crops/2005?metric=prc&download=csv,2005.0,3.5998733333333335
68ed410437a2ec38e9c949f7,Storage,UNK,Maize (corn),Angola,0112,Farm,4.60595,4.60595,0.0,24.0,Modelled Estimates,,"APHLIS, (2021), APHLIS",UNK,0.0,UNK,https://www.aphlis.net/en/data/tables/value-chain/AO/all-crops/2006?metric=prc&download=csv,2006.0,3.6072333333333333
68ed410437a2ec38e9c949fa,Transportation,UNK,Maize (corn),Angola,0112,Farm,2.31359,2.31359,0.0,24.0,Modelled Estimates,,"APHLIS, (2021), APHLIS",UNK,0.0,UNK,https://www.aphlis.net/en/data/tables/value-chain/AO/all-crops/2006?metric=prc&download=csv,2006.0,3.6074533333333334
68ed410437a2ec38e9c949fd,Drying,UNK,Maize (corn),Angola,0112,Farm,3.90478,3.90478,0.0,24.0,Modelled Estimates,,"APHLIS, (2021), APHLIS",UNK,0.0,UNK,https://www.aphlis.net/en/data/tables/value-chain/AO/all-crops/2006?metric=prc&download=csv,2006.0,3.6081066666666666
68ed410437a2ec38e9c949d6,Storage,UNK,Maize (corn),Angola,0112,Farm,4.60036,4.60036,0.0,24.0,Modelled Estimates,,"APHLIS, (2021), APHLIS",UNK,0.0,UNK,https://www.aphlis.net/en/data/tables/value-chain/AO/all-crops/2007?metric=prc&download=csv,2007.0,3.6062433333333335
